Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
4500.0,,,29961193.545,-0.74,0.74,2.739,4.2,0.607,0.63,2.338,2.35
4600.0,,,30561754.521,-0.74,0.74,2.739,4.199,0.606,0.629,2.331,2.347
4800.0,,,31948304.296,-0.74,0.74,2.74,4.199,0.602,0.626,2.317,2.336
5000.0,,,34038250.994,-0.74,0.74,2.74,4.199,0.598,0.622,2.304,2.321
5100.0,,,34634961.171,-0.74,0.74,2.74,4.199,0.596,0.621,2.296,2.316
5200.0,,,35679136.126,-0.74,0.74,2.741,4.2,0.594,0.618,2.29,2.305
5300.0,,,36277693.981,-0.74,0.74,2.741,4.2,0.593,0.618,2.285,2.304
5400.0,,,36876159.173,-0.74,0.74,2.741,4.2,0.591,0.617,2.278,2.299
5500.0,,,37950382.025,-0.74,0.74,2.741,4.199,0.589,0.614,2.27,2.288
5600.0,,,38548189.393,-0.74,0.74,2.741,4.199,0.588,0.614,2.266,2.287
5700.0,,,39145931.607,-0.74,0.74,2.741,4.2,0.586,0.613,2.26,2.282
5800.0,,,39747620.025,-0.74,0.74,2.741,4.199,0.585,0.611,2.254,2.275
5900.0,,,40344880.738,-0.74,0.74,2.742,4.199,0.583,0.61,2.248,2.27
6000.0,,,40941961.92,-0.74,0.74,2.742,4.199,0.582,0.608,2.242,2.265
6100.0,,,41631835.053,-0.74,0.74,2.742,4.199,0.579,0.605,2.235,2.255
6200.0,,,42228435.79,-0.74,0.74,2.742,4.2,0.579,0.605,2.23,2.254
6300.0,,,42824841.193,-0.74,0.74,2.742,4.2,0.577,0.604,2.225,2.249
6400.0,,,43608154.02,-0.74,0.74,2.742,4.199,0.575,0.601,2.218,2.24
6500.0,,,44204074.659,-0.74,0.74,2.742,4.2,0.574,0.602,2.215,2.239
6600.0,,,44799774.634,-0.74,0.74,2.742,4.199,0.573,0.6,2.209,2.234
6700.0,,,46286986.555,-0.74,0.74,2.742,4.199,0.573,0.598,2.211,2.229
6800.0,,,46882091.894,-0.74,0.74,2.742,4.199,0.572,0.599,2.205,2.228
6900.0,,,47477129.979,-0.74,0.74,2.742,4.199,0.57,0.597,2.199,2.224
7000.0,,,48465622.423,-0.74,0.74,2.743,4.2,0.568,0.594,2.192,2.215
7100.0,,,49059214.418,-0.74,0.74,2.743,4.199,0.567,0.597,2.188,2.219
7200.0,,,49653698.728,-0.74,0.74,2.743,4.199,0.566,0.593,2.182,2.208
7300.0,,,50248032.346,-0.74,0.74,2.743,4.199,0.564,0.592,2.176,2.203
7400.0,,,50863986.205,-0.74,0.74,2.744,4.199,0.562,0.59,2.17,2.196
7500.0,,,51457939.533,-0.74,0.74,2.744,4.199,0.561,0.589,2.164,2.192
7600.0,,,52051703.842,-0.74,0.74,2.744,4.199,0.559,0.588,2.158,2.187
7700.0,,,52697216.98,-0.74,0.74,2.744,4.199,0.557,0.586,2.152,2.179
7800.0,,,53290628.495,-0.74,0.74,2.744,4.199,0.556,0.586,2.148,2.176
7900.0,,,53883808.969,-0.74,0.74,2.745,4.199,0.555,0.584,2.142,2.172
8000.0,,,54593429.769,-0.74,0.74,2.745,4.2,0.553,0.582,2.136,2.165
8100.0,,,55186323.538,-0.74,0.74,2.745,4.2,0.553,0.582,2.134,2.163
